id,last_modified,name,description,poi_type,lat,lon,address_complete,capacity,contact_phone,contact_email,related_url
1,2023-07-18,Porto Ceresio,"Partenza T01 del tratto Lombard del sentiero Europeo E1,Centro Abitato con possibilità di pernottamento, ristorazione, rifornimenti, farmacia",city,45.90281,8.90425,"Via Guido Butti, N. 40, 21050, Porto Ceresio, VA", ,332917150,protocollo@pec.comune.portoceresio.va.it,https://www.comune.portoceresio.va.it/hh/index.php
2,2023-07-18,Ufficio Turistico,"Ufficio Turistico Porto Ceresio,",tourist-information,45.90278,8.90301,"Piazzale Luraschi,  21050, Porto Ceresio, VA", ,, , 
3,2023-07-18,Traghetti Porto Ceresio,"Approdo Traghetti Lago,","
ferry-terminal",45.90414,8.90088,"Via Mazzini, N. 43, 21050, Porto Ceresio, VA", ,, , 
4,2023-07-18,Municipio Porto Ceresio,,amenity-townhall,45.90319,8.90585,"Via Butti, N. 40, 21050, Porto Ceresio, VA", ,332917150, , 
5,2023-07-18,Chiesa di Sant'Ambrogio,"Chiesa edificata nel 1700, con bella vista sul lago,",religion,45.902446840985800,8.90459267037901,"Via Butti, N. 2, 21050, Porto Ceresio, VA", ,332917353, , 
6,2023-07-18,BUS Porto Ceresio,"Linea N06 CTPI,",highway-bus-stop,45.90390,8.90062,"Via Mazzini, N. 43, 21050, Porto Ceresio, VA", ,,bigliettazione@ctpi.it,https://www.ctpi.it/
7,2023-07-18,Stazione Porto Ceresio,"Stazione Ferroviaria TreNord,",train-station,45.90371,8.90049,"Via Mazzini, N. 43, 21050, Porto Ceresio, VA", ,, , 
8,2023-07-18,Borgnana,",Centro Abitato con possibilità di ristorazione",village,45.90450390826884,8.906184538193948,", Loc. Borgnana, 21050, Cuasso al Monte, VA", ,332939001,segreteria@comune.cuassoalmonte.va.it,https://www.comune.cuassoalmonte.va.it/
9,2023-07-18,Chiesa della Beata Vergine Immacolata,,religion,45.91403873098759,8.886354079339103,"Via Garibaldi , N. 32, Loc. Borgnana, 21050, Cuasso al Monte, VA", ,, , 
10,2023-07-18,Fermata Bus Borgnana,"Linea N06 CTPI,",highway-bus-stop,45.91355949695022,8.887858060712201,"Loc. Borgnana, 21050, Cuasso al Monte, VA", ,,bigliettazione@ctpi.it,https://www.ctpi.it/
11,2023-07-18,Cuasso al Monte,Centro Abitato con possibilità di pernottamento e ristorazione,village,45.91391164486641,8.881380218176483,"Via Roma, N. 58, 21050, Cuasso al Monte, VA", ,332939001,segreteria@comune.cuassoalmonte.va.it,https://www.comune.cuassoalmonte.va.it/
12,2023-07-18,Proloco Cuasso al Monte,,tourist-information,45.915465997844535,8.88135375813772,"Via Roma, N. 8, 21050, Cuasso al Monte, VA", ,3488665284, , 
13,2023-07-18,Municipio di Cuasso al Monte,,amenity-townhall,45.914865478874766,8.879385386015738,"Via Roma, N. 58, 21050, Cuasso al Monte, VA", ,332939001,segreteria@comune.cuassoalmonte.va.it,https://www.comune.cuassoalmonte.va.it/
14,2023-07-18,Chiesa di Sant'Ambrogio,,religion,45.914989998590265,8.879713825523869,"Via Roma , N. 53, 21050, Cuasso al Monte, VA", ,332939061, , 
15,2023-07-18,Fermata Bus Cuasso al Monte,,highway-bus-stop,45.913391815135924,8.877096786493878,"Via Cacciatori delle Alpi , N. 7, 21050, Cuasso al Monte, VA", ,,segreteria@comune.cuassoalmonte.va.it, 
16,2023-07-18,Monte Piambello,"Linea Cadorna, fortificazioni della Prima Guerra Mondiale,",historical,45.92294724667565,8.851750880949602,"21030, Marchirolo, VA", ,, ,http://www.cmpiambello.it/hh/index.php
17,2023-07-18,Boarezzo,"Borghetto d'Artista.,Centro Abitato con Possibilità di ristorazione","village,tourism",45.91323038386485,8.83511245858925,"Loc. Boarezzo, 21039, Valganna, VA", ,332719755,anagrafe@comune.valganna.va.it,https://www.comune.valganna.va.it/
18,2023-07-18,Chiesa di San Giovanni Battista,,religion,45.91341451646693,8.835099720229822,"Piaza della Chiesa , N. 4A, Loc. Boarezzo, 21039, Valganna, VA", ,, , 
19,2023-07-18,Ganna,"Arrivo T01 e Partenza T02 Lombardia. ,Centro Abitato con possibilità di pernottamento e ristorazione",village,45.90264240633792,8.825962427916492,"Piazza Grandi, N. 1, 21039, Valganna, VA", ,332719755,anagrafe@comune.valganna.va.it,https://www.comune.valganna.va.it/
20,2023-07-18,Badia di San Gemolo,,"historical,punctual-architectural-element",45.902586744236764,8.822080240176653,"SP 11, Loc. Ganna, 21039, Valganna, VA", ,, ,https://www.badiadiganna.eu/
21,2023-07-18,Lago di Ganna,,tourism,45.89735799979556,8.826018846960066,"Loc. Ganna, 21039, Valganna, VA", ,, , 
22,2023-07-18,Ghirla,,village,45.914285579154644,8.822706373015476,"Loc. Ghirla, 21039, Valganna, VA", ,332719755,anagrafe@comune.valganna.va.it,https://www.comune.valganna.va.it/
23,2023-07-18,Lago di Ghirla,,tourism,45.916704,8.821076,"SS 233, Loc. Ghirla, 21039, Valganna, VA", ,, , 
24,2023-07-18,Maglio di Ghirla,,"historical,punctual-architectural-element",45.9271306715696,8.819144555635093,"Via Montello, N. 1, Loc. Ghirla, 21039, Valganna, VA", ,, , 
25,2023-07-18,Municipio di Valganna,,amenity-townhall,45.901787822979784,8.825326269145362,"Piazza Grandi, N. 1, 21039, Valganna, VA", ,332719755,anagrafe@comune.valganna.va.it,http://www.comune.valganna.va.it/Default.aspx
26,2023-07-18,BUS Ganna,"Linea N10 CTPI,",highway-bus-stop,45.90267673307135,8.825810813070749,"Via Roma, N. 4, 21039, Valganna, VA", ,,bigliettazione@ctpi.it,https://www.ctpi.it/
27,2023-07-18,Brinzio,"Municipio Brinzio è il logotipo dei borghi prealpini lombardi per la perfetta conservazione delle dimore tradizionali.,Centro Abitato con Possibilità di ristorazione",village,45.888050811023994,8.790669502952788,"Via Indipendenza, N. 5, 21030, Brinzio, VA", ,332435714,info@comune.brinzio.va.it,https://www.halleyweb.com/c012021/hh/index.php
28,2023-07-18,BUS Brinzio,"Linea N13 CTPI,",highway-bus-stop,45.88804139254662,8.790409170352326,"Via Indipendenza, N. 5, 21030, Brinzio, VA", ,,bigliettazione@ctpi.it,https://www.ctpi.it/
29,2023-07-18,Campo dei Fiori,"Parco Regionale Naturale,","tourism,natural-park",45.863704266938015,8.761608253653304,"Via Trieste, N. 40, 21030, Brinzio, VA", ,332435386,info@parcocampodeifiori.it,http://www.parcocampodeifiori.it/campofiori/zf/index.php/servizi-aggiuntivi/index/index/idtesto/1
30,2023-07-18,Valico delle Pizzelle,,natural-saddle,4586881017236820,8.78548865704913,"21030, Brinzio, VA", ,, , 
31,2023-07-18,Santuario di Santa Maria del Monte,"punto di arrivo del percorso del Sacro Monte di Varese, patrimonio Unesco,",religion,45.86073727555752,8.7933019532570049,"21030, Brinzio, VA", ,, , 
32,2023-07-18,Osservatorio Astronomico G.V. Schiapparelli,,punctual-architectural-element,45.868402643994365,8.772518559631997,"21030, Brinzio, VA", ,, , 
33,2023-07-18,BUS Orino,"Linea N13 CTPI,",highway-bus-stop,45.88322268087669,8.71780533218562,"Via Garibaldi , N. 1, 21030, Orino, VA", ,,bigliettazione@ctpi.it,https://www.ctpi.it/
34,2023-07-18,Rocca di Orino,"a 1,2 km NE dal tracciato E1 ,",historical,45.88789325253935,8.728374237759937,"21030, Orino, VA", ,, , 
