id,last_modified,name,description,poi_type,lat,lon,address_complete,capacity,contact_phone,contact_email,related_url
403,29/3/2023,Passo della Bocchetta,"Strada Principale per Serravalle (N) o Genova (S)
Punto di Accesso a E1","natural-saddle,crossroads",44.5506336965326,8.88784715429471,,,,,
404,29/3/2023,Incrocio con Sentiero Locale,"Incrocio con Sentiero Locale per Ponte Acqua (non su E1), Segnavia Geometrici IGNORARE",crossroads,44.550337457508,8.89209170613252,,,,,
405,29/3/2023,Pian di Reste,Inizio di E1 Liguria: incrocio con AVML proveniente da SW; dirigersi a NE per E1 ,crossroads,44.5537592164247,8.89506793575145,,,,,
406,29/3/2023,Bivio per Ponte dell'acqua,Incrocio con Sentiero Locale per Ponte dell'Acqua (S) IGNORARE & Dirigersi a NE,crossroads,44.5565899604768,8.90582642844342,,,,,
407,29/3/2023,Bivio per Piano Orizzontale dei Giovi,Incrocio con Sentiero Locale per Piano Orizzontale dei Giovi (S) Segnavia Geometrici IGNORARE & Dirigersi a NE,crossroads,44.5568873843733,8.9166534142877,,,,,
408,29/3/2023,Bivio per Busalla 1,Incrocio con Sentiero Locale per Busalla (N) Segnavia Geometrici IGNORARE & Dirigersi a E,crossroads,44.5585325843857,8.92026740448898,,,,,
409,29/3/2023,Bivio per Busalla 2,Incrocio con Sentiero Locale per Busalla (N) IGNORARE & Dirigersi a E,crossroads,44.5510267476469,8.93193360347651,,,,,
410,29/3/2023,Passo dei Giovi ,"Strada Principale per Serravalle (N) o per Genoa (S); con SP 47 
Incrocio con Sentiero Locale per Ponterosso (S)  IMBOCCARE SP47 per 200 m e qindi il sentiero che si dirige a E","natural-saddle,crossroads",44.5521704158957,8.93707968118994,,,,,
411,29/3/2023,Incrocio con Sentiero Locale,"Incrocio con Sentiero Locale per Ponterosso (SW), Segnavia Geometrici IGNORARE & Dirigersi a SE",crossroads,44.5470274603334,8.94720734254203,,,,,
412,29/3/2023,Bivio per Serra Riccò,Incrocio con Sentiero Locale per Serra Riccò (S) IGNORARE & Dirigersi a N,crossroads,44.5432739590591,8.955277986617,,,,,
413,29/3/2023,Santuario di Nostra Signora  della Vittoria,Santuario dedicato alla Vittoria della Repubblica Genovese su Carlo Emanuele di Savoia nel 1625,"religion,historical",44.5426088110646,8.95594840510797,Via alla Vittoria 46 Mignanego 16018 GE,,+39 3892880721 ,web@santuariodellavittoria.it,https://www.santuariodellavittoria.it/
414,29/3/2023,Passo della Crocetta d'Orero,SP3 e SP2 to Casella (North( and Genoa (S) Incrocio con Sentiero Locale per Pedemonte di Serra Riccò (S) IGNORARE & Dirigersi a SE,"natural-saddle,crossroads",44.5198292323963,8.98769940603725,,,,,
415,29/3/2023,Bypass Santuario Montallegro 1,Scorciatoia (Bypass) per non salire al Santuario,crossroads,44.5165138374136,8.99037854826046,,,,,
416,29/3/2023,Santuario di Nostra Signora di Montallegro ,Santuario del XVI Secolo,"religion,historical",44370490593,9.255788646333084,Via del Santuario 24 Rapallo 16035 GE,,+39 0185 239000 ,info@santuarionsmontallegro.com,https://www.santuarionsmontallegro.com/it/news-4/come-arrivare.html
417,29/3/2023,Bypass Santuario Montallegro 2,Scorciatoia (Bypass) per non salire al Santuario,crossroads,44.5166205256844,8.99337582115845,,,,,
418,29/3/2023,Sentiero Locale IGNORARE,Sentiero Locale IGNORARE,crossroads,44.5057915955398,9.00079456389453,,,,,
419,29/3/2023,Sentiero Locale IGNORARE,Sentiero Locale IGNORARE,crossroads,44.5013047971365,9.00045449998145,,,,,
420,29/3/2023,Case Sella,"Cappella, Sentiero Locale per Busalletta (Stazione Ferroviaria - Ferrovia Locale) per/da Genova e Casella ) W, IGNORARE & Dirigersi a S ",crossroads,44.5000119896061,9.00005072184999,,,,,
421,29/3/2023,Busalletta,Stazione Ferroviaria (Ferrovia Locale) per/da Genova e Casella ,train-station,44.497122340,8.988563551060,Sant'Olcese 16010 GE Busalletta,,,,
422,29/3/2023,Bivio perMonte Carossino,Incrocio con Sentiero Locale per lavetta di Monte Carossino (E) IGNORARE,crossroads,44.49338,9.00589,,,,,
423,29/3/2023,Monte Carossino,,natural-peak,44.49205,9.00797,,,,,
424,29/3/2023,Bivio per Genova ,Incrocio con Sentiero Locale per Genova (SSW) Segnavia Geometrici IGNORARE & Dirigersi a S,crossroads,44.4929394156497,9.00625540043557,,,,,
425,29/3/2023,Bivio per Righi,Incrocio con Sentiero Locale per Righi/Genova SSW Segnavia Geometrici IGNORARE & Dirigersi a S,crossroads,44.4850761793386,9.00415125926038,,,,,
426,29/3/2023,,Incrocio con Sentiero Locale,crossroads,44.4784828221076,9.00467129662754,,,,,
427,29/3/2023,Colle del Canile,Incrocio con Sentiero Locale,natural-saddle,44.4765511756709,9.00545713850542,,,,,
428,29/3/2023,Colle di Creto,"Incrocio con Sentiero Locale per Molassana (W) per IGNORARE & Dirigersi a E
Road to  Montoggio and Genova",natural-saddle,44.4720034326214,9.0070498297554,,,,,
429,29/3/2023,Gola di Sisa,"Incrocio con Sentiero Locale per Righi/Genova (SSW) or Montoggio (N), Segnavia Geometrici IGNORARE & Dirigersi a E","natural-saddle,crossroads",44.4828089006069,9.03526591471464,,,,,
430,29/3/2023,Bivio per Alpesisa,"Incrocio con Sentiero Locale per Alpesisa (S) e Prato (Genova), Segnavia Geometrici IGNORARE & Dirigersi a E",crossroads,44.4855595003409,9.03951249624416,,,,,
431,29/3/2023,Bivio per Morasco,"Incrocio con Sentiero Locale per Morasco and Montoggio (E), Segnavia Geometrici IGNORARE & Dirigersi a S",crossroads,44.4828524691531,9.04484758865109,,,,,
432,29/3/2023,Bivio per Monte Lago,"Incrocio con Sentiero Locale per Monte Lago (S), Segnavia Geometrici, possibile salita in vetta e rientro su E1 al Colla di Monte Lago",crossroads,44.4819523544461,9.04623254487806,,,,,
433,29/3/2023,Monte Lago,,natural-peak,44.48293,9.05411,,,,,
434,29/3/2023,Colla di Monte Lago (Colle Est) ,"Incrocio con Sentiero Locale per la vetta di Monte Lago Ovest (W), o Cavasso (Genova) (S), o bypass diretto a Monte Lago Est  (SE) , Segnavia Geometrici, E1 tocca la vetta del Monte Lago Est top",natural-saddle,44.4805972910853,9.0587806828975,,,,,
435,29/3/2023,Monte Lago Est,,natural-peak,44.48163,9.06213,,,,,
436,29/3/2023,Bypass Monte Lago,"Incrocio con Sentiero Locale, bypass of Monte Lago East top, Segnavia Geometrici",crossroads,44.4805792880312,9.06400676085632,,,,,
437,29/3/2023,Porta del Fuoco,"Incrocio con Sentiero Locale per Capenardo (S)  Segnavia Geometrici, IGNORARE & Dirigersi a SE",crossroads,44.4746724256012,9.07307246275621,,,,,
438,29/3/2023,Bivio per Monte Bano,"Incrocio con Sentiero Locale per Monte Bano (N), and Prato (Genova), Segnavia Geometrici IGNOR & follow AVML E1",crossroads,44.4772325219299,9.08202778576198,,,,,
439,29/3/2023,Incrocio con Sentiero Locale ,Incrocio con Sentiero Locale ,crossroads,44.4796894422632,9.11934933556532,,,,,
440,29/3/2023,Passo della Scoffera,"Major crossing with SS 45, to Genoa and Piacenza and Incrocio con Sentiero Locale per Marzano (N), Segnavia Geometrici; IGNORARE & Dirigersi a S on SP 62","natural-saddle,crossroads",44.4806535253383,9.11963512835696,,,,,
441,29/3/2023,Ufficio Postale,,post-office,44.48111,9.11936,Via Scoffera 49 Davagna 16022 GE,,,,
442,29/3/2023,Supermarket Alimentari,,shop-convenience,44.48107,9.11915,Via Scoffera Davagna 16022 GE,,,,
